Name,Number,Code TLA,Codename,Pre-release codename,Manufacturer,FCC,TENAA,Canada,EEC,Bluetooth,Wifi
Nokia 8 Sirocco,TA-1005,A1N,Avenger / Avatar?,,,,,,,,
Nokia 8 Sirocco,TA-1042,A1N,Avenger / Avatar?,,,,,,,,
Nokia 8.1 (Dual SIM) (India?),TA-1121,PNX,Phoenix,Parrot,,,,,,https://launchstudio.bluetooth.com/ListingDetails/66295,
Nokia 8.1 (Dual SIM),TA-1119,PNX,Phoenix,Parrot,,,,,,https://launchstudio.bluetooth.com/ListingDetails/66295,
Nokia 8.1 (Dual SIM),TA-1128,PNX,Phoenix,Parrot,,,,,,,
Nokia 800 Tough China,TA-1189,,Coconut?,,,,http://shouji.tenaa.com.cn/Mobile/MobileDetail.aspx?code=g61T3CysTlSvI%2bQgKH174YVCzmADFTgX2N90jE1lG%2f87jD9Kx%2fn5Ig%3d%3d,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA91192
Nokia 800 Tough EEC,TA-1186,,Coconut?,,,,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA91342
Nokia 800 Tough,TA-1176,,Coconut?,,,,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA91340
Nokia 800 Tough,TA-1180,,Coconut?,,,,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA91341
Nokia 8110 4G (Dual SIM),TA-1048,ARG,,,,,,,,,
Nokia 8110 4G (Dual SIM),TA-1059,ARG,,,,,,,,,
Nokia 8110 4G,TA-1067,ARG,,,,,,,,,
Nokia 8110 4G,TA-1071,ARG,,,,,,,,,
Nokia 9 PureView (CN - Dual SIM),TA-1094,AOP,Olympic / Beholder,,,https://fccid.io/2AJOTTA-1087,,,,,
Nokia 9 PureView (Dual SIM),TA-1087,AOP,Olympic / Beholder,,,https://fccid.io/2AJOTTA-1087,,,,,
Nokia 9 PureView (Single SIM),TA-1082,AOP,Olympic / Beholder,,,https://fccid.io/2AJOTTA-1082,,,,,
Nokia ? (4G feature phone?) China?,TA-1177,,,,,,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90125
Nokia ?,,,,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/101622,
Nokia ?,,DVW,,,,,,,,,
Nokia ?,,ML2,,,,,,,,,
Nokia ?,TA-1013,,,,,,,,,,
Nokia ?,TA-1040,,,,,,,,,,
Nokia ?,TA-x,LMS,,,,,,,,,
Nokia C1 (UniSoc),TA-1165,RKU,Rocket,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/98399,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA92338
Nokia C2,TA-1204,,,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/100719,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA94069
Nokia C2,TA-1233,NBL,Nebula,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/100719,
Nokia China?,TA-1132,,,,,,,,,,
Nokia China?,TA-1146,,,,,,,,,,
Nokia Original?,TA-1213,,,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/96078,
Nokia X7,TA-1131,PNX,Phoenix,Parrot,,,,,,https://launchstudio.bluetooth.com/ListingDetails/66295,
Nokia X71 (China),TA-1172,TAS,Taisun / Taishan,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/80884,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA82562
Nokia X71 (Taiwan),TA-1167,TAS,Taisun / Taishan,,,,,,,https://launchstudio.bluetooth.com/ListingDetails/80884,
Nokia feature phone EEC/India?,TA-1203,,,,,,https://shouji.tenaa.com.cn/Mobile/MobileDetail.aspx?code=g61T3CysTlSvI%2bQgKH174VAGOM5bycQDpHtyVeLhhWHVEB7Qkijl5A%3d%3d,,,,
Nokia feature phone LATAM - looks like TA-1192,TA-1190,,Nemo?,,,https://fccid.io/2AJOTTA-1190,,,,,
